Datalogfile:;R102_IBN_TORGUE
2016-08-02 17:14:57
Samplerate:;24.0;ms

Conditions:
1;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 1: Torque (REAL)
2;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 2: Torque (REAL)
3;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 3: Torque (REAL)
4;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 4: Torque (REAL)
5;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 5: Torque (REAL)
6;IF;OUT:Prg running (BOOL);>;0.0;THEN LOG;Axis 6: Torque (REAL)
7;No log
8;No log

No;Value 1;Value 2;Value 3;Value 4;Value 5;Value 6;Value 7;Value 8;
324;2.586826;-5.079379;5.28478;-0.09956426;-0.03106899;-0.01004213;;;
325;3.234359;-5.126807;5.270595;-0.09912287;-0.03126018;-0.003385387;;;
326;3.010941;-5.121641;5.282465;-0.1077986;-0.0305658;-0.009355078;;;
327;2.660806;-5.052501;5.248445;-0.09803002;-0.03139992;-0.01198942;;;
328;2.084901;-5.067368;5.273569;-0.1034386;-0.04108705;-0.0007166847;;;
329;2.818149;-5.066403;5.255152;-0.08852106;-0.03644065;-0.002609367;;;
330;2.886888;-5.089138;5.270333;-0.09833887;-0.04509467;-0.01123527;;;
331;2.98537;-5.087057;5.249743;-0.1009223;-0.03876624;-0.01401048;;;
332;2.249259;-5.10221;5.255936;-0.09443671;-0.03870099;-0.01334805;;;
333;2.732292;-5.088861;5.25513;-0.09781931;-0.04145185;-0.005135702;;;
334;2.98103;-5.080166;5.257494;-0.09069138;-0.03818869;-0.00771261;;;
335;3.167912;-5.098457;5.241497;-0.09445981;-0.04490869;-0.005435983;;;
336;2.587294;-5.073137;5.244627;-0.0944951;-0.04595571;-0.003414916;;;
337;2.455004;-5.112675;5.228802;-0.08660313;-0.04034373;-0.006690131;;;
338;2.647593;-5.075768;5.224103;-0.08969966;-0.04280629;-0.001634657;;;
339;2.95589;-5.056705;5.231128;-0.09253443;-0.04557849;-0.003319088;;;
340;2.817844;-5.104681;5.237061;-0.08952353;-0.04390056;-0.00452443;;;
341;2.636405;-5.080446;5.221131;-0.08877038;-0.03713617;-0.01026379;;;
342;2.485978;-5.017339;5.237493;-0.08431143;-0.04380876;-0.001383206;;;
343;3.021701;-5.081128;5.219138;-0.08538864;-0.04144375;-0.0129056;;;
344;2.961981;-5.056089;5.209678;-0.09032898;-0.03932672;-0.008853937;;;
345;2.940105;-5.054528;5.212045;-0.09115355;-0.03814764;-0.005642659;;;
346;2.336016;-5.079748;5.215012;-0.08543436;-0.04660545;-0.001782076;;;
347;2.725357;-5.07871;5.239573;-0.0917472;-0.03906863;-0.005823737;;;
348;2.784208;-5.065178;5.192871;-0.09103543;-0.04496069;-0.001290674;;;
349;2.902031;-5.099887;5.206679;-0.08431405;-0.03774855;-0.01027388;;;
350;2.523143;-5.082317;5.215744;-0.08065563;-0.0448544;-0.003928098;;;
351;2.495033;-5.110457;5.198115;-0.08573246;-0.04628741;-0.009022227;;;
352;3.107661;-5.057373;5.205316;-0.08245312;-0.04486785;-0.004238109;;;
353;3.264018;-5.087384;5.195162;-0.0766526;-0.04518045;-0.009880827;;;
354;2.876679;-5.100843;5.205724;-0.08012461;-0.04362715;-0.009264503;;;
355;2.253038;-5.112064;5.201409;-0.07949974;-0.04869271;-0.003023179;;;
356;2.377257;-5.08649;5.214453;-0.06877444;-0.04813176;-0.009075403;;;
357;2.9858;-5.073319;5.202779;-0.07835301;-0.04451649;-0.01077222;;;
358;3.03784;-5.094869;5.182522;-0.07805578;-0.0401446;-0.01224764;;;
359;2.689688;-5.100212;5.20018;-0.07541635;-0.04655883;-0.00846689;;;
360;2.402121;-5.074508;5.173685;-0.07680788;-0.04632153;-0.0005020748;;;
361;3.090067;-5.082724;5.168818;-0.07177962;-0.04570515;-0.009441009;;;
362;3.124755;-5.089086;5.167344;-0.07776876;-0.03957039;-0.00356347;;;
363;2.959408;-5.106041;5.18085;-0.07489571;-0.04046126;-0.004629794;;;
364;2.442647;-5.10586;5.161744;-0.07238107;-0.04340729;-0.007534919;;;
365;2.539021;-5.034359;5.166915;-0.07359338;-0.04066687;-0.00114596;;;
366;2.862736;-5.111559;5.166549;-0.07269146;-0.04060886;-0.01367844;;;
367;2.890963;-5.116636;5.197571;-0.06776284;-0.03641194;-0.005826856;;;
368;2.917127;-5.105343;5.169583;-0.07142469;-0.03653846;-0.009718064;;;
369;2.394414;-5.101908;5.167657;-0.06897984;-0.04021285;-0.01005876;;;
370;2.985793;-5.096285;5.166828;-0.07438621;-0.03779181;-0.008379101;;;
371;2.99154;-5.125164;5.159591;-0.07079054;-0.04211236;-0.006297467;;;
372;3.241866;-5.082205;5.155462;-0.07213615;-0.03861535;-0.009637813;;;
373;2.485277;-5.057166;5.181495;-0.06182203;-0.03076517;-0.009472885;;;
374;2.411871;-5.150958;5.158861;-0.06935704;-0.03390044;-0.009016522;;;
375;2.670375;-5.088445;5.148559;-0.05821361;-0.03068394;-0.009660825;;;
376;3.207832;-5.114735;5.166421;-0.05850966;-0.03647762;-0.01274726;;;
377;3.052699;-5.121552;5.141865;-0.06978877;-0.03407685;0.0005460374;;;
378;2.475158;-5.124779;5.165647;-0.06239007;-0.03058921;-0.01050726;;;
379;2.526658;-5.108287;5.140658;-0.05804038;-0.03235886;-0.01475961;;;
380;3.1549;-5.132413;5.148357;-0.06427092;-0.03921947;-0.004658883;;;
381;3.107984;-5.10476;5.131025;-0.05858074;-0.02663608;-0.01251174;;;
382;2.864493;-5.116946;5.170483;-0.05642364;-0.033008;-0.007555672;;;
383;2.129497;-5.081272;5.140081;-0.05436292;-0.03078852;-0.01357319;;;
384;2.875957;-5.096839;5.127542;-0.06015203;-0.03238865;-0.01224825;;;
385;2.877488;-5.109675;5.120267;-0.05221422;-0.0306154;-0.009910822;;;
386;3.17126;-5.045458;5.138995;-0.06040918;-0.02553522;-0.003211408;;;
387;2.270866;-5.088923;5.152828;-0.05560742;-0.03004472;-0.01651041;;;
388;2.919686;-5.13213;5.120474;-0.05367732;-0.02781477;-0.005306268;;;
389;2.995658;-5.134247;5.112054;-0.05965576;-0.03127178;-0.0145268;;;
390;3.328608;-5.128685;5.12546;-0.05490625;-0.02704337;-0.009044253;;;
391;2.577205;-5.09937;5.137043;-0.05480095;-0.03151649;-0.009766295;;;
392;2.452936;-5.114642;5.106542;-0.05381326;-0.03073116;-0.01289401;;;
393;2.681407;-5.100891;5.146405;-0.06244885;-0.0333428;-0.005095138;;;
